Date,Open SP500,High SP500,Low SP500,Close SP500,Volume SP500,Interest Rate,Unemployment Rate,Inflation Rate,CPIAUCSL,Open RUSSELL2000,High RUSSELL2000,Low RUSSELL2000,Close RUSSELL2000,Volume RUSSELL2000,Close Oil,Close Gold,Open Gold,High Gold,Low Gold,Change % Gold,OPEN_CLOSE_CHANGE_ABB_SP500,OPEN_CLOSE_CHANGE_ABB_RUSSELL2000,OPEN_CLOSE_CHANGE_ABB_Gold,Interest_Rate_Change,Inflation_Rate_Change,Unemployment_Rate_Change,CPI_Change
1989-08-31,346.079987,352.730011,339.0,351.450012,3949100000.0,8.99,5.2,4.4,124.5,174.509995,178.199997,173.869995,178.199997,3949100000.0,17.2,358.29,370.47,373.09,358.29,-0.49,5.420043000000021,3.840024999999997,-42.04000000000002,-0.25,-0.1999999999999993,0.0,0.0
1989-09-30,351.450012,354.130005,341.369995,349.149994,3035020000.0,9.02,5.3,4.3,124.8,178.210007,179.470001,175.690002,178.210007,3035020000.0,18.23,366.14,359.4,368.21,357.97,-0.07,-2.3000180000000228,0.5500329999999849,-30.389999999999986,0.02999999999999936,-0.10000000000000053,0.09999999999999964,0.29999999999999716
1989-10-31,348.600006,360.440002,327.119995,340.359985,4167970000.0,8.84,5.3,4.3,125.4,176.759995,180.949997,165.610001,167.470001,4167970000.0,18.93,373.9,369.17,377.5,360.65,-0.85,-8.079987000000074,-9.389999000000046,-33.470000000000255,-0.17999999999999972,0.0,0.0,0.6000000000000085
1989-11-30,340.359985,346.5,330.910004,345.98999,3032160000.0,8.55,5.4,4.4,125.9,167.460007,169.990005,165.270004,168.169998,3032160000.0,18.48,411.7,375.3,419.05,373.15,0.97,5.63000500000004,1.029968000000025,-50.950000000000045,-0.28999999999999915,0.10000000000000053,0.10000000000000053,0.5
1989-12-31,346.01001,354.100006,339.630005,353.399994,3213420000.0,8.45,5.4,4.4,126.3,168.190002,169.059998,162.5,168.309998,3213420000.0,21.05,403.05,415.95,417.55,399.75,0.83,7.320006999999919,0.09001000000000658,-73.11000000000013,-0.10000000000000142,0.0,0.0,0.3999999999999915
1990-01-31,350.679993,360.589996,319.829987,329.079987,3939190000.0,8.23,5.4,4.4,127.5,166.270004,170.800003,152.440002,153.270004,3939190000.0,20.5,411.7,404.85,420.25,394.75,-1.71,-21.660003000000017,-13.050002000000006,-65.60000000000002,-0.21999999999999886,0.0,0.0,1.2000000000000028
1990-02-28,329.079987,336.089996,322.100006,331.890015,2961970000.0,8.24,5.3,4.6,128.0,153.270004,160.350006,153.270004,157.720001,2961970000.0,19.2,406.75,418.45,422.95,406.75,-0.46,2.81002599999988,4.860015000000004,-52.69,0.009999999999999787,0.1999999999999993,-0.10000000000000053,0.5
1990-03-31,331.890015,344.48999,331.079987,339.940002,3283280000.0,8.28,5.2,4.9,128.6,157.710007,164.839996,157.389999,163.630005,3283280000.0,17.95,370.45,408.85,406.95,367.75,-0.3,8.19998099999998,5.800016999999997,-84.71999999999991,0.03999999999999915,0.3000000000000007,-0.09999999999999964,0.5999999999999943
1990-04-30,340.790009,347.299988,327.76001,330.799988,2940560000.0,8.26,5.4,4.8,128.9,163.410004,163.669998,157.410004,158.089996,2940560000.0,16.35,368.9,373.15,380.75,368.9,-0.7,-9.990021000000013,-5.260008999999997,-42.34999999999991,-0.019999999999999574,-0.10000000000000053,0.20000000000000018,0.30000000000001137
1990-05-31,330.799988,362.26001,330.799988,361.230011,3596680000.0,8.18,5.4,4.8,129.1,158.089996,169.110001,158.089996,168.910004,3596680000.0,15.3,363.9,371.6,374.75,363.9,-0.22,30.420042999999907,10.360027000000002,-58.34999999999991,-0.08000000000000007,0.0,0.0,0.19999999999998863
1990-06-30,361.26001,368.779999,351.230011,358.019989,3226280000.0,8.29,5.2,4.9,129.9,168.910004,171.080002,166.529999,169.119995,3226280000.0,15.73,357.05,364.55,359.2,345.55,1.69,-4.27007999999995,0.13998299999997244,-43.64999999999998,0.10999999999999943,0.10000000000000053,-0.20000000000000018,0.8000000000000114
1990-07-31,357.640015,369.779999,350.089996,356.149994,3519050000.0,8.15,5.5,5.0,130.5,168.399994,170.470001,161.220001,161.509995,3515830000.0,19.23,370.75,358.25,371.45,353.35,0.76,-1.500029999999981,-7.0199599999999975,-55.09000000000003,-0.1399999999999988,0.09999999999999964,0.2999999999999998,0.5999999999999943
1990-08-31,356.149994,357.350006,306.179993,322.559998,4020730000.0,8.13,5.7,5.5,131.6,161.5,161.649994,132.740005,139.509995,4014260000.0,27.8,383.0,375.65,413.62,373.25,-1.61,-33.42996199999993,-22.30001999999999,-119.88999999999993,-0.019999999999999574,0.5,0.20000000000000018,1.0999999999999943
1990-09-30,318.709991,326.529999,295.980011,306.049988,2783760000.0,8.2,5.9,5.5,132.5,139.309998,141.020004,124.449997,126.699997,2781880000.0,41.0,403.15,390.05,407.38,379.6,-0.52,-13.549987000000044,-12.640008000000037,-64.66000000000003,0.06999999999999851,0.0,0.20000000000000018,0.9000000000000057
1990-10-31,306.100006,319.690002,294.51001,304.0,3671900000.0,8.11,5.9,5.3,133.4,126.739998,129.960007,118.510002,118.830002,3670600000.0,34.3,380.2,404.25,394.62,362.35,0.38,-2.0799859999999626,-7.900009999999995,-99.9600000000001,-0.08999999999999986,-0.20000000000000018,0.0,0.9000000000000057
